2026-01-17 11:12:24,731 | groundzero | INFO | __init__.py:137 | Loaded 0 user profiles
2026-01-17 11:12:24,732 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 11:12:25,096 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 11:12:25,097 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 11:12:25,097 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 0 nodes
2026-01-17 11:12:25,109 | groundzero | INFO | __init__.py:137 | Loaded 1 user profiles
2026-01-17 11:12:25,109 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 11:12:25,113 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 11:12:25,114 | groundzero | INFO | groundzero.py:111 | Web search initialized
2026-01-17 11:12:25,115 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 11:12:25,137 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 11:12:38,843 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\User\Coding\GroundZero\data\workspace)
2026-01-17 11:12:38,844 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 11:12:38,927 | groundzero | INFO | __init__.py:222 | Saved knowledge graph: 1 nodes, 0 edges
2026-01-17 11:12:38,927 | groundzero | INFO | groundzero.py:298 | Learned about: Test Topic
2026-01-17 11:12:46,346 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 11:12:46,348 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 11:12:46,349 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 11:12:46,349 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 1 nodes
2026-01-17 11:12:46,372 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 11:12:46,373 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 11:12:46,374 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 11:12:46,375 | groundzero | INFO | groundzero.py:111 | Web search initialized
2026-01-17 11:12:46,376 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 11:12:46,386 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 11:12:46,886 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\User\Coding\GroundZero\data\workspace)
2026-01-17 11:12:46,887 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 11:12:49,432 | groundzero | INFO | __init__.py:123 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 11:13:45,641 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 11:13:45,645 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 11:13:45,645 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 11:13:45,650 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 1 nodes
2026-01-17 11:13:45,653 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 11:13:45,654 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 11:13:45,655 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 11:13:45,656 | groundzero | INFO | groundzero.py:111 | Web search initialized
2026-01-17 11:13:45,656 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 11:13:45,658 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 11:13:46,255 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\User\Coding\GroundZero\data\workspace)
2026-01-17 11:13:46,255 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 11:13:46,485 | groundzero | INFO | __init__.py:123 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 11:16:02,519 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 11:16:02,519 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 11:16:02,519 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 11:16:02,519 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 1 nodes
2026-01-17 11:16:02,519 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 11:16:02,519 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 11:16:02,527 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 11:16:02,528 | groundzero | INFO | groundzero.py:111 | Web search initialized
2026-01-17 11:16:02,528 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 11:16:02,530 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 11:16:03,045 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\User\Coding\GroundZero\data\workspace)
2026-01-17 11:16:03,046 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 11:16:03,246 | groundzero | INFO | __init__.py:123 | Starting GroundZero Dashboard at http://0.0.0.0:8080
2026-01-17 11:20:43,447 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 11:20:43,447 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 11:20:43,447 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 11:20:43,447 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 1 nodes
2026-01-17 11:20:43,463 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 11:20:43,464 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 11:20:43,465 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 11:20:43,466 | groundzero | INFO | groundzero.py:111 | Web search initialized
2026-01-17 11:20:43,466 | groundzero | INFO | groundzero.py:121 | Reasoning engine initialized
2026-01-17 11:20:43,478 | groundzero | INFO | groundzero.py:137 | Continuous learning initialized
2026-01-17 11:20:43,992 | groundzero | INFO | manager.py:85 | Tools Manager initialized (workspace: C:\Users\User\Coding\GroundZero\data\workspace)
2026-01-17 11:20:43,993 | groundzero | INFO | groundzero.py:144 | Tools initialized (code execution, documents, files)
2026-01-17 11:20:43,996 | groundzero | INFO | __init__.py:127 | Downloading deepseek-ai/DeepSeek-R1-Distill-Qwen-7B...
2026-01-17 11:20:43,996 | groundzero | INFO | __init__.py:128 | This may take a while (7B model is ~15GB)...
2026-01-17 11:22:42,461 | groundzero | INFO | __init__.py:134 | Downloading tokenizer...
2026-01-17 11:22:47,667 | groundzero | INFO | __init__.py:138 | Downloading model weights...
2026-01-17 11:46:34,543 | groundzero | INFO | __init__.py:148 | Saving as GroundZero to data\models\groundzero\model...
2026-01-17 12:01:01,642 | groundzero | INFO | groundzero.py:69 | Initializing GroundZero AI...
2026-01-17 12:01:01,654 | groundzero | INFO | __init__.py:102 | Loaded model state: GroundZero-AI v1.0.0
2026-01-17 12:01:01,655 | groundzero | INFO | groundzero.py:89 | Using mock model (no GPU required)
2026-01-17 12:01:01,667 | groundzero | INFO | __init__.py:187 | Loaded knowledge graph: 1 nodes, 0 edges
2026-01-17 12:01:01,672 | groundzero | INFO | groundzero.py:100 | Knowledge graph: 1 nodes
2026-01-17 12:01:01,705 | groundzero | INFO | __init__.py:137 | Loaded 2 user profiles
2026-01-17 12:01:01,722 | groundzero | INFO | __init__.py:232 | Loaded 0 conversations
2026-01-17 12:01:01,723 | groundzero | INFO | groundzero.py:106 | Memory system initialized
2026-01-17 12:01:01,725 | groundzero | INFO | groundzero.py:111 | Web search initialized
